filmId,title,genre,producer,actor,rating
862,Toy Story,Animation,Bonnie Arnold,Tom Hanks,8
949,Heat,Action,Art Linson,Robert De Niro,8
949,Heat,Action,Art Linson,Al Pacino,8
11860,Sabrina,Comedy,Sydney Pollack,Harrison Ford,6
11860,Sabrina,Comedy,Sydney Pollack,Paul Giamatti,6
10858,Nixon,History,Dan Halsted,Anthony Hopkins,7
524,Casino,Drama,Barbara De Fina,Robert De Niro,8
9273,Ace Ventura: When Nature Calls,Crime,Bob Israel,Jim Carrey,6
11517,Money Train,Action,Neil Canton,Woody Harrelson,5
9691,Assassins,Action,Richard Donner,Antonio Banderas,6
451,Leaving Las Vegas,Drama,Lila Cazès,Nicolas Cage,7
9603,Clueless,Comedy,Scott Rudin,Paul Rudd,7
35196,Restoration,Drama,Sarah Blackburn,Robert Downey Jr.,6
35196,Restoration,Drama,Sarah Blackburn,Ian McKellen,6
577,To Die For,Fantasy,Laura Ziskin,Joaquin Phoenix,7
807,Se7en,Crime,Arnold Kopelson,Morgan Freeman,8
807,Se7en,Crime,Arnold Kopelson,Kevin Spacey,8
807,Se7en,Crime,Arnold Kopelson,Brad Pitt,8
629,The Usual Suspects,Drama,Bryan Singer,Kevin Spacey,8
629,The Usual Suspects,Drama,Bryan Singer,Benicio del Toro,8
9089,Home for the Holidays,Comedy,Jodie Foster,Robert Downey Jr.,6
9623,The Juror,Drama,Rob Cowan,Joseph Gordon-Levitt,6
400,Things to Do in Denver When You're Dead,Drama,Cary Woods,Christopher Walken,7
400,Things to Do in Denver When You're Dead,Drama,Cary Woods,Steve Buscemi,7
10534,White Squall,Action,Mimi Polk Gitlin,Jeff Bridges,6
2086,Nick of Time,Crime,John Badham,Johnny Depp,6
2086,Nick of Time,Crime,John Badham,Christopher Walken,6
11062,City Hall,Drama,Harold Becker,Al Pacino,6
11062,City Hall,Drama,Harold Becker,John Cusack,6
13685,Bottle Rocket,Comedy,Cynthia Hargrave,Owen Wilson,7
9614,Happy Gilmore,Comedy,Robert Simonds,Ben Stiller,6
688,The Bridges of Madison County,Drama,Clint Eastwood,Clint Eastwood,7
103,Taxi Driver,Crime,Julia Phillips,Robert De Niro,8
2074,Flirting with Disaster,Comedy,Dean Silvers,Ben Stiller,6
110972,Pie in the Sky,Comedy,Allan Mindel,John Goodman,7
9101,Down Periscope,Comedy,Robert Lawrence,William H. Macy,6
10474,The Basketball Diaries,Drama,Liz Heller,Leonardo DiCaprio,7
10474,The Basketball Diaries,Drama,Liz Heller,Mark Wahlberg,7
568,Apollo 13,Drama,Brian Grazer,Tom Hanks,7
34996,The Addiction,Drama,Fernando Sulichin,Christopher Walken,6
414,Batman Forever,Action,Tim Burton,Tommy Lee Jones,5
414,Batman Forever,Action,Tim Burton,Jim Carrey,5
8839,Casper,Fantasy,Colin Wilson,Clint Eastwood,6
8963,Crimson Tide,Action,Jerry Bruckheimer,Denzel Washington,7
8963,Crimson Tide,Action,Jerry Bruckheimer,Viggo Mortensen,7
8068,Desperado,Thriller,Robert Rodriguez,Steve Buscemi,7
8068,Desperado,Thriller,Robert Rodriguez,Antonio Banderas,7
8512,Devil in a Blue Dress,Drama,Jesse Beaton,Denzel Washington,6
8512,Devil in a Blue Dress,Drama,Jesse Beaton,Don Cheadle,6
1572,Die Hard: With a Vengeance,Action,John McTiernan,Samuel L. Jackson,7
1572,Die Hard: With a Vengeance,Action,John McTiernan,Jeremy Irons,7
17447,Jeffrey,Comedy,Victoria Maxwell,Patrick Stewart,6
9886,Johnny Mnemonic,Adventure,Don Carmody,Keanu Reeves,6
19326,Jury Duty,Comedy,Yoram Ben-Ami,Stanley Tucci,4
9071,Living in Oblivion,Drama,Hilary Gilford,Peter Dinklage,7
9071,Living in Oblivion,Drama,Hilary Gilford,Steve Buscemi,7
2293,Mallrats,Romance,Scott Mosier,Ben Affleck,7
11980,The Prophecy,Fantasy,Joel Soisson,Christopher Walken,6
11980,The Prophecy,Fantasy,Joel Soisson,Viggo Mortensen,6
10533,The Scarlet Letter,Drama,Roland Joffé,Gary Oldman,6
10533,The Scarlet Letter,Drama,Roland Joffé,Robert Duvall,6
10149,Smoke,Comedy,Peter Newman,Forest Whitaker,7
18402,Something to Talk About,Comedy,Anthea Sylbert,Robert Duvall,6
9348,Species,Science Fiction,Frank Mancuso Jr.,Forest Whitaker,6
9348,Species,Science Fiction,Frank Mancuso Jr.,Ben Kingsley,6
281,Strange Days,Crime,Steven-Charles Jaffe,Ralph Fiennes,7
36834,Total Eclipse,Drama,Jean-Pierre Ramsay-Levi,Leonardo DiCaprio,6
9560,A Walk in the Clouds,Drama,Gil Netter,Keanu Reeves,6
11017,Billy Madison,Comedy,Robert Simonds,Steve Buscemi,6
9382,Boys on the Side,Comedy,Arnon Milchan,Matthew McConaughey,6
22625,Circle of Friends,Drama,Frank Price,Colin Firth,6
1909,Don Juan DeMarco,Romance,Francis Ford Coppola,Johnny Depp,6
10531,Death and the Maiden,Drama,Josh Kramer,Ben Kingsley,7
