filmId,title,genre,producer,actor,rating
141052,Justice League,Action,Charles Roven,Willem Dafoe,0
163376,Luv,Romance,Martin Manulis,Harrison Ford,0
82519,Restaurant,Drama,Eric Bross,Adrien Brody,0
49789,Priest of Love,Drama,Christopher Miles,Ian McKellen,0
410205,"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",Documentary,Peter Raymont,Kevin Spacey,0
410205,"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",Documentary,Peter Raymont,Dustin Hoffman,0
129405,World War II: When Lions Roared,Drama,David W. Rintels,Michael Caine,0
51594,The Statue of Liberty,History,Ken Burns,Jeremy Irons,0
88658,Cold Feet,Crime,Susan Bridges,Jeff Bridges,0
141052,Justice League,Action,Charles Roven,J.K. Simmons,0
44635,Just a Kiss,Comedy,Matthew H. Rowland,Peter Dinklage,0
284053,Thor: Ragnarok,Action,Kevin Feige,Tom Hiddleston,0
310431,Stacy's Knights,Drama,Ann Locktov,Kevin Costner,0
284053,Thor: Ragnarok,Action,Kevin Feige,Chris Hemsworth,0
284053,Thor: Ragnarok,Action,Kevin Feige,Idris Elba,0
284053,Thor: Ragnarok,Action,Kevin Feige,Anthony Hopkins,0
284053,Thor: Ragnarok,Action,Kevin Feige,Benedict Cumberbatch,0
141052,Justice League,Action,Charles Roven,Jeremy Irons,0
141052,Justice League,Action,Charles Roven,Ben Affleck,0
284053,Thor: Ragnarok,Action,Kevin Feige,Mark Ruffalo,0
43719,Small Island,Drama,Joanna Anderson,Benedict Cumberbatch,2
50463,The Favor,Drama,Lauren Shuler Donner,Brad Pitt,3
12486,Farce of the Penguins,Comedy,David Permut,Samuel L. Jackson,3
11535,Rollerball,Action,John McTiernan,Jean Reno,3
74849,The Star Wars Holiday Special,Adventure,Mitzie Welch,Harrison Ford,3
13805,Disaster Movie,Action,Jason Friedberg,Javier Bardem,3
5491,Battlefield Earth,Action,John Travolta,Forest Whitaker,3
108316,The Alarmist,Comedy,Dan Stone,Stanley Tucci,3
108316,The Alarmist,Comedy,Dan Stone,Ryan Reynolds,3
8046,Gigli,Drama,Casey Silver,Christopher Walken,4
6470,Fire Birds,Action,Bill Badalato,Tommy Lee Jones,4
124972,Generation Um...,Drama,Alison Palmer Bourke,Keanu Reeves,4
15582,Teen Wolf Too,Comedy,Kent Bateman,Jason Bateman,4
22049,Starcrash,Fantasy,Patrick Wachsberger,Christopher Plummer,4
86820,4:44 Last Day on Earth,Drama,Vincent Maraval,Willem Dafoe,4
26738,Rage,Thriller,Christopher Sheppard,Steve Buscemi,4
14977,Red Sands,Action,Ash R. Shah,J.K. Simmons,4
26738,Rage,Thriller,Christopher Sheppard,Jude Law,4
168098,Cell,Horror,Shara Kay,Samuel L. Jackson,4
