actor,filmId,genre,producer,rating,title
Adrien Brody,82519.0,Drama,Eric Bross,5.0,Restaurant
Ian McKellen,49789.0,Drama,Christopher Miles,5.0,Priest of Love
Jude Law,26738.0,Thriller,Christopher Sheppard,5.0,Rage
Samuel L. Jackson,168098.0,Horror,Shara Kay,5.0,Cell
John Cusack,168098.0,Horror,Shara Kay,5.0,Cell
Steve Buscemi,36630.0,Drama,Judge Reinhold,5.0,Zandalee
Nicolas Cage,36630.0,Drama,Judge Reinhold,5.0,Zandalee
Ben Affleck,8046.0,Drama,Casey Silver,5.0,Gigli
Nicolas Cage,6470.0,Action,Bill Badalato,5.0,Fire Birds
Morgan Freeman,240704.0,Documentary,Drew Fellman,5.0,Island of Lemurs: Madagascar
Nicolas Cage,242310.0,Action,Michael Mendelsohn,5.0,Rage
Peter Dinklage,174316.0,Comedy,Justin Long,5.0,A Case of You
James Franco,262338.0,Thriller,Eric Kranzler,5.0,Good People
George Clooney,12279.0,Action,Elizabeth Avellan,5.0,Spy Kids 3-D: Game Over
Steve Buscemi,12279.0,Action,Elizabeth Avellan,5.0,Spy Kids 3-D: Game Over
Robert Downey Jr.,32456.0,Drama,Chris Hanley,5.0,Two Girls and a Guy
John Cusack,286654.0,Thriller,Gary Hamilton,5.0,Reclaim
Woody Harrelson,4613.0,Comedy,Al Corley,5.0,Scorched
Idris Elba,1683.0,Thriller,Robert Zemeckis,5.0,The Reaping
Harrison Ford,11375.0,Action,Lou Pitt,5.0,Hollywood Homicide
Owen Wilson,12183.0,Comedy,Mark Johnson,5.0,The Wendell Baker Story
John Cusack,241254.0,Thriller,George Furla,5.0,The Prince
Johnny Depp,246403.0,Comedy,Shannon McIntosh,5.0,Tusk
Christopher Plummer,12767.0,Mystery,Mike Figgis,5.0,Cold Creek Manor
Viggo Mortensen,71506.0,Documentary,Cliff Broadway,5.0,Ringers - Lord of the Fans
Robert Duvall,248688.0,Drama,Emilio Aragón,5.0,A Night in Old Mexico
Steve Buscemi,14434.0,Comedy,Chris Rock,5.0,I Think I Love My Wife
John Goodman,11568.0,Music,Leslie Belzberg,5.0,Blues Brothers 2000
Ben Affleck,9784.0,Comedy,Sammy Lee,5.0,Man About Town
Paul Rudd,180296.0,Comedy,Michael Showalter,5.0,They Came Together
Nicolas Cage,1250.0,Thriller,Michael De Luca,5.0,Ghost Rider
Tom Hardy,65096.0,Thriller,James Erskine,5.0,EMR
Will Ferrell,12183.0,Comedy,Mark Johnson,5.0,The Wendell Baker Story
Jeff Bridges,68737.0,Adventure,Basil Iwanyk,5.0,Seventh Son
James Franco,152736.0,Crime,Vince Jolivette,5.0,Child of God
Robert Duvall,1950.0,Drama,Curtis Hanson,5.0,Lucky You
Jason Bateman,206821.0,Comedy,Uday Chopra,5.0,The Longest Week
Jim Carrey,100042.0,Comedy,Bobby Farrelly,5.0,Dumb and Dumber To
Paul Giamatti,174311.0,Comedy,Daniel Carey,5.0,All Is Bright
Don Cheadle,11244.0,Fantasy,Christopher Homes,5.0,The Meteor Man
Christopher Walken,9750.0,Comedy,Roger Birnbaum,5.0,Balls of Fury
Ben Kingsley,9703.0,Action,Dino De Laurentiis,5.0,The Last Legion
Colin Firth,9703.0,Action,Dino De Laurentiis,5.0,The Last Legion
Mark Ruffalo,11523.0,Comedy,Brad Grey,5.0,View from the Top
Bill Murray,100042.0,Comedy,Bobby Farrelly,5.0,Dumb and Dumber To
Jeremy Irons,2486.0,Fantasy,John Davis,5.0,Eragon
Peter Dinklage,6589.0,Action,Roger Birnbaum,5.0,Underdog
Robert Downey Jr.,1950.0,Drama,Curtis Hanson,5.0,Lucky You
Mark Ruffalo,42383.0,Drama,Aimee Schoof,5.0,XX/XY
John Goodman,2698.0,Fantasy,Tom Shadyac,5.0,Evan Almighty
Chris Hemsworth,12403.0,Thriller,Mark Canton,6.0,A Perfect Getaway
Jean Reno,10353.0,Comedy,Alain Terzian,6.0,The Visitors II: The Corridors of Time
Channing Tatum,11322.0,History,Michael Mann,6.0,Public Enemies
Kevin Costner,21259.0,Action,Jonathan Bernstein,6.0,Testament
Johnny Depp,11322.0,History,Michael Mann,6.0,Public Enemies
Robert De Niro,11096.0,Horror,Barry Josephson,6.0,Hide and Seek
Ewan McGregor,9928.0,Animation,John C. Donkin,6.0,Robots
Paul Giamatti,9928.0,Animation,John C. Donkin,6.0,Robots
Christian Bale,11322.0,History,Michael Mann,6.0,Public Enemies
Bill Murray,8284.0,Crime,Jon Kilik,6.0,The Limits of Control
Colin Farrell,27085.0,Adventure,Max Rosenberg,6.0,The Land That Time Forgot
Stanley Tucci,9928.0,Animation,John C. Donkin,6.0,Robots
Steve Carell,9688.0,Comedy,Letty Aronson,6.0,Melinda and Melinda
Ben Stiller,693.0,Comedy,Robert De Niro,6.0,Meet the Fockers
Jason Bateman,7446.0,Action,Eric McLeod,6.0,Tropic Thunder
Edward Norton,1724.0,Science Fiction,Gale Anne Hurd,6.0,The Incredible Hulk
Ben Stiller,7446.0,Action,Eric McLeod,6.0,Tropic Thunder
Jeremy Renner,1562.0,Horror,Andrew Macdonald,6.0,28 Weeks Later
Idris Elba,1562.0,Horror,Andrew Macdonald,6.0,28 Weeks Later
Christopher Walken,2976.0,Family,Daniel Silverberg,6.0,Hairspray
James Franco,4964.0,Comedy,Clayton Townsend,6.0,Knocked Up
Tom Hanks,591.0,Thriller,Brian Grazer,6.0,The Da Vinci Code
Paul Rudd,4964.0,Comedy,Clayton Townsend,6.0,Knocked Up
Steve Carell,4964.0,Comedy,Clayton Townsend,6.0,Knocked Up
Ian McKellen,591.0,Thriller,Brian Grazer,6.0,The Da Vinci Code
Jean Reno,591.0,Thriller,Brian Grazer,6.0,The Da Vinci Code
James Franco,559.0,Fantasy,Laura Ziskin,6.0,Spider-Man 3
Hugh Jackman,36668.0,Adventure,Ralph Winter,6.0,X-Men: The Last Stand
Ian McKellen,36668.0,Adventure,Ralph Winter,6.0,X-Men: The Last Stand
J.K. Simmons,559.0,Fantasy,Laura Ziskin,6.0,Spider-Man 3
Willem Dafoe,559.0,Fantasy,Laura Ziskin,6.0,Spider-Man 3
Patrick Stewart,36668.0,Adventure,Ralph Winter,6.0,X-Men: The Last Stand
Willem Dafoe,1268.0,Family,Tim Bevan,6.0,Mr. Bean's Holiday
Jason Bateman,9767.0,Romance,Vince Vaughn,6.0,The Break-Up
John Cusack,1441.0,Drama,Andreas Schmid,6.0,The Contract
Morgan Freeman,1441.0,Drama,Andreas Schmid,6.0,The Contract
Stanley Tucci,9903.0,Comedy,Bob Yari,6.0,The Hoax
Christopher Plummer,2044.0,Romance,Doug Davison,6.0,The Lake House
Keanu Reeves,2044.0,Romance,Doug Davison,6.0,The Lake House
Christopher Walken,9339.0,Comedy,Steve Koren,6.0,Click
Will Ferrell,9955.0,Action,Peter Kohn,6.0,Blades of Glory
Chris Evans,1273.0,Adventure,Thomas K. Gray,6.0,TMNT
Patrick Stewart,1273.0,Adventure,Thomas K. Gray,6.0,TMNT
William H. Macy,11199.0,Action,Brian Robbins,6.0,Wild Hogs
Antonio Banderas,810.0,Fantasy,Aron Warner,6.0,Shrek the Third
Al Pacino,3489.0,Crime,Gary Scott Thompson,6.0,88 Minutes
Al Pacino,298.0,Crime,Jerry Weintraub,6.0,Ocean's Thirteen
Matt Damon,298.0,Crime,Jerry Weintraub,6.0,Ocean's Thirteen
Chris Evans,12435.0,Comedy,Dany Wolf,6.0,The Nanny Diaries
Jason Statham,10431.0,Action,Steve Chasman,6.0,War
Daniel Craig,4858.0,Science Fiction,Joel Silver,6.0,The Invasion
Jason Bateman,4349.0,Thriller,Michael Mann,6.0,The Kingdom
Matthew McConaughey,6877.0,Comedy,Scott Rudin,6.0,Failure to Launch
Jamie Foxx,4349.0,Thriller,Michael Mann,6.0,The Kingdom
Woody Harrelson,9968.0,Comedy,Christopher Roberts,6.0,The Big White
Channing Tatum,9655.0,Comedy,Lauren Shuler Donner,6.0,She's the Man
Peter Dinklage,9950.0,Drama,Robert Greenhut,6.0,Find Me Guilty
Samuel L. Jackson,13074.0,Drama,Bob Yari,6.0,Resurrecting the Champ
Morgan Freeman,31601.0,Comedy,Aaron Russo,6.0,Teachers
Ben Kingsley,8141.0,Comedy,Carol Baum,6.0,You Kill Me
Robert Downey Jr.,8669.0,Comedy,Jay Roach,6.0,Charlie Bartlett
Tom Hardy,1887.0,Drama,Sofia Coppola,6.0,Marie Antoinette
Tommy Lee Jones,9526.0,Drama,Robert Altman,6.0,A Prairie Home Companion
J.K. Simmons,16083.0,Drama,Bob Yari,6.0,First Snow
Steve Buscemi,3563.0,Comedy,Tom Shadyac,6.0,I Now Pronounce You Chuck & Larry
Hugh Dancy,6022.0,Drama,Jeffrey Sharp,6.0,Evening
John Cusack,3021.0,Horror,Lorenzo di Bonaventura,6.0,1408
Samuel L. Jackson,3021.0,Horror,Lorenzo di Bonaventura,6.0,1408
Jeff Bridges,17035.0,Comedy,Aaron Ryder,6.0,The Moguls
Tom Cruise,956.0,Adventure,Tom Cruise,6.0,Mission: Impossible III
Jeff Bridges,9408.0,Animation,Christopher Jenkins,6.0,Surf's Up
Jeff Bridges,10115.0,Comedy,Gail Lyon,6.0,Stick It
Don Cheadle,298.0,Crime,Jerry Weintraub,6.0,Ocean's Thirteen
Edward Norton,7870.0,Drama,Edward Norton,6.0,Down in the Valley
Bradley Cooper,28355.0,Horror,Steve Golin,6.0,Case 39
Brad Pitt,298.0,Crime,Jerry Weintraub,6.0,Ocean's Thirteen
Woody Harrelson,9526.0,Drama,Robert Altman,6.0,A Prairie Home Companion
Paul Giamatti,12435.0,Comedy,Dany Wolf,6.0,The Nanny Diaries
Jude Law,1253.0,Drama,Anthony Minghella,6.0,Breaking and Entering
Harrison Ford,68979.0,Comedy,Carter DeHaven,6.0,Dead Heat on a Merry-Go-Round
Paul Giamatti,9906.0,Fantasy,Tom Hanks,6.0,The Ant Bully
Steve Buscemi,9986.0,Comedy,Jordan Kerner,6.0,Charlotte's Web
Ben Stiller,2179.0,Comedy,Jack Black,6.0,Tenacious D in The Pick of Destiny
J.K. Simmons,7873.0,Crime,Andrea Sperling,6.0,Harsh Times
Christian Bale,7873.0,Crime,Andrea Sperling,6.0,Harsh Times
William H. Macy,10741.0,History,Holly Wiersma,6.0,Bobby
Anthony Hopkins,10741.0,History,Holly Wiersma,6.0,Bobby
Hugh Jackman,9836.0,Animation,George Miller,6.0,Happy Feet
Russell Crowe,9726.0,Comedy,Ridley Scott,6.0,A Good Year
Nicolas Cage,9906.0,Fantasy,Tom Hanks,6.0,The Ant Bully
Jean Reno,11619.0,Adventure,Peter Lord,6.0,Flushed Away
Ian McKellen,11619.0,Adventure,Peter Lord,6.0,Flushed Away
Hugh Jackman,11619.0,Adventure,Peter Lord,6.0,Flushed Away
Antonio Banderas,77221.0,Adventure,Tarak Ben Ammar,6.0,Black Gold
Jason Statham,5289.0,Drama,Michael Derbas,6.0,Chaos
Daniel Craig,9672.0,Drama,Anne Walker-McBay,6.0,Infamous
Ralph Fiennes,15414.0,Drama,Jon Avnet,6.0,Land of the Blind
Christopher Walken,9895.0,Comedy,James G. Robinson,6.0,Man of the Year
Ryan Gosling,7859.0,Drama,Anna Boden,6.0,Half Nelson
Ben Stiller,9842.0,Comedy,Geyer Kosinski,6.0,School for Scoundrels
Jeff Bridges,11559.0,Fantasy,Jeremy Thomas,6.0,Tideland
Jude Law,1717.0,Drama,Steven Zaillian,6.0,All the King's Men
Ben Affleck,1249.0,Drama,Glenn Williamson,6.0,Hollywoodland
Adrien Brody,1249.0,Drama,Glenn Williamson,6.0,Hollywoodland
James Franco,9664.0,Action,Dean Devlin,6.0,Flyboys
Jean Reno,9664.0,Action,Dean Devlin,6.0,Flyboys
Anthony Hopkins,1717.0,Drama,Steven Zaillian,6.0,All the King's Men
Joseph Gordon-Levitt,9921.0,Action,Lee Daniels,6.0,Shadowboxer
Jamie Foxx,82.0,Action,Michael Mann,6.0,Miami Vice
Robert Downey Jr.,18615.0,Drama,Bonnie Timmermann,6.0,Fur: An Imaginary Portrait of Diane Arbus
Colin Farrell,82.0,Action,Michael Mann,6.0,Miami Vice
Christopher Plummer,4375.0,Action,Jacques Bertrand,6.0,Triple Cross
Dwayne Johnson,10090.0,Action,Danny DeVito,6.0,Reno 911!: Miami
Paul Rudd,10090.0,Action,Danny DeVito,6.0,Reno 911!: Miami
Jim Carrey,3594.0,Thriller,Beau Flynn,6.0,The Number 23
William H. Macy,18191.0,Drama,Chris Hanley,6.0,Edmond
Chris Pratt,13141.0,Comedy,Lorena David,6.0,Strangers with Candy
Will Ferrell,9965.0,Comedy,Judd Apatow,6.0,"Wake Up, Ron Burgundy: The Lost Movie"
Paul Rudd,9965.0,Comedy,Judd Apatow,6.0,"Wake Up, Ron Burgundy: The Lost Movie"
Steve Carell,9965.0,Comedy,Judd Apatow,6.0,"Wake Up, Ron Burgundy: The Lost Movie"
J.K. Simmons,5172.0,Adventure,Paula Weinstein,6.0,The Astronaut Farmer
Robert Duvall,42636.0,Drama,Aaron Rosenberg,6.0,The Detective
Steve Buscemi,9297.0,Animation,Steve Starkey,6.0,Monster House
Hugh Dancy,10075.0,Drama,Tom Rosenberg,6.0,Blood and Chocolate
